Label,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z
8849,1688,1688,1119.523,24.492,0.230,1534,1555,579,614,52,61,1544.511,596.832,58.141
8850,2311,2311,1605.493,32.960,0.146,1929,1957,569,613,53,61,1944.976,591.025,58.383
8851,1854,1854,1392.250,29.495,0.144,1319,1358,583,614,54,61,1342.289,598.072,58.492
8852,7251,7251,4596.132,48.533,0.061,1343,1404,576,630,54,61,1375.789,600.685,58.516
8853,4139,4139,2743.998,43.785,0.094,111,160,587,633,54,61,136.792,609.567,58.564
8854,1723,1723,1306.724,28.001,0.150,814,841,594,631,55,61,826.756,609.128,58.687
8855,2238,2238,1679.375,28.254,0.120,1062,1095,578,615,56,61,1079.534,600.186,58.823
8856,194,194,224.163,10.634,0.378,766,771,608,623,54,61,768.206,615.366,57.897
8857,3435,3435,2317.093,40.411,0.107,768,816,604,636,52,61,786.912,619.694,58.183
8858,1476,1476,908.660,19.767,0.328,984,1008,612,630,48,61,995.770,620.301,56.310
8859,624,624,489.190,14.575,0.376,870,886,618,639,56,61,876.460,628.524,58.111
8860,2579,2579,1493.152,30.661,0.226,857,884,606,647,53,61,866.273,625.886,57.634
8861,879,879,652.575,18.093,0.314,1963,1981,621,646,52,61,1972.151,633.115,57.486
8862,679,679,502.291,14.880,0.411,1827,1841,639,660,52,61,1834.393,649.607,56.841
8863,3528,3528,2475.111,41.157,0.093,173,225,630,680,53,61,201.011,652.742,58.383
8864,924,924,654.721,16.128,0.344,824,845,645,664,54,61,833.591,653.773,58.098
8865,3556,3556,2147.454,35.104,0.144,771,803,635,684,51,61,786.300,662.112,57.702
8866,74,74,127.641,9.276,0.298,1788,1792,665,680,55,61,1790.500,674.514,57.378
8867,4009,4009,2210.887,36.594,0.168,703,729,656,710,51,61,715.086,678.940,57.592
8868,384,384,522.510,17.598,0.117,1748,1771,675,695,58,61,1759.529,682.958,59.617
8869,113,113,157.634,8.176,0.369,1927,1940,687,695,59,61,1932.832,690.363,59.628
8870,652,652,553.495,15.869,0.284,701,722,698,716,55,61,710.242,707.000,58.684
8871,2349,2349,1630.895,28.705,0.144,667,700,696,735,55,61,682.017,713.003,58.742
8872,1043,1043,878.855,24.764,0.181,1621,1656,689,717,53,61,1635.948,703.380,58.636
8873,221,221,253.334,10.792,0.340,1787,1796,699,715,57,61,1791.950,706.647,58.941
8874,450,450,411.913,13.831,0.328,0,11,721,742,55,61,3.131,730.780,58.593
8875,4208,4208,2285.886,35.789,0.168,1559,1600,710,758,52,61,1575.120,735.485,57.595
8876,2249,2249,1526.238,32.170,0.161,1775,1792,708,764,52,61,1783.411,738.005,58.182
8877,431,431,382.129,13.981,0.377,653,676,754,765,55,61,663.717,760.258,58.622
8878,182,182,191.842,9.123,0.531,1782,1792,759,770,55,61,1788.346,764.071,58.286
8879,435,435,466.702,15.466,0.211,1648,1670,759,775,56,61,1657.706,766.949,59.028
8880,130,130,148.272,7.870,0.586,669,680,761,768,57,61,674.723,765.054,58.900
8881,393,393,376.041,14.396,0.328,387,409,765,776,55,61,396.046,769.718,58.598
8882,2269,2269,1392.022,25.893,0.216,1865,1901,765,793,51,61,1878.923,776.273,57.517
